Site_ID,Habitat,Season,Elevation_m,Bird_Species_Richness,Bird_Abundance,Vegetation_Cover_percent,Disturbance_Score_1_5
S074,Agricultural,Winter,1966,3,8,53.8,4
S075,Agricultural,Summer,821,8,17,59.0,4
S076,Agricultural,Spring,1870,16,22,76.0,2
S077,Agricultural,Winter,1449,15,19,77.1,1
S078,Urban,Winter,2079,11,18,78.7,2
S079,Urban,Winter,1384,4,10,67.8,3
S080,Agricultural,Summer,1008,8,11,32.1,4
S081,Urban,Spring,1394,13,23,87.7,2
S082,Forest,Winter,987,17,28,32.1,1
S083,Agricultural,Autumn,1006,11,19,61.1,2
S084,Forest,Winter,1613,17,21,39.9,5
S085,Forest,Winter,1361,10,15,53.7,1
S086,Agricultural,Summer,1248,5,16,61.6,3
S087,Urban,Summer,2075,13,19,61.4,4
S088,Forest,Spring,1011,2,11,63.4,2
S089,Agricultural,Autumn,1572,3,10,87.3,1
S090,Forest,Summer,1782,2,11,64.1,5
S091,Forest,Winter,1623,17,24,50.1,1
S092,Forest,Spring,1454,15,27,74.3,5
S093,Forest,Winter,734,13,24,78.8,3
S094,Urban,Winter,1144,6,13,30.4,4
S095,Forest,Summer,792,6,11,66.9,3
S096,Forest,Spring,1930,17,24,69.0,2
S097,Forest,Autumn,1052,12,22,49.0,1
S098,Urban,Autumn,1602,8,18,82.5,5
S099,Forest,Summer,2055,10,13,52.0,5
S100,Forest,Summer,1561,10,21,57.5,1
S101,Urban,Spring,858,4,13,51.5,1
S102,Urban,Autumn,1656,4,13,55.3,2
S103,Urban,Autumn,723,17,26,33.1,3
S104,Forest,Autumn,1103,17,27,26.2,5
S105,Urban,Winter,1504,4,10,86.9,2
S106,Urban,Autumn,1215,5,15,38.1,3
S107,Forest,Winter,1431,9,23,35.2,2
S108,Urban,Spring,2087,7,15,11.9,5
S109,Forest,Winter,2105,9,20,42.2,1
S110,Agricultural,Spring,1231,2,9,28.5,1
S111,Urban,Autumn,1655,9,14,87.8,3
S112,Agricultural,Autumn,851,5,12,75.2,4
S113,Forest,Spring,1646,12,21,41.2,3
S114,Urban,Summer,1307,2,10,95.0,4
S115,Forest,Spring,1119,9,19,74.6,2
S116,Agricultural,Summer,1973,5,14,48.5,2
S117,Forest,Winter,1840,7,16,5.0,5
S118,Urban,Winter,1565,9,14,95.0,4
S119,Urban,Winter,1277,5,10,27.2,5
S120,Agricultural,Autumn,1034,15,23,22.1,1
