Observation_ID,Date,Time,Sampling_Site,Habitat_Type,Season,Species_Name,Species_Group,Number_of_Individuals,Sex,Age_Group,Observation_Method,Latitude,Longitude,Elevation_m,Temperature_C,Relative_Humidity_pct,Rainfall_mm,Vegetation_Cover_pct,Canopy_Cover_pct,Food_Availability_Score_1_10,Water_Availability,Distance_from_Road_km,Distance_from_Settlement_km,Human_Activity_Count,Livestock_Count,Agricultural_Activity,Waste_Pollution,Habitat_Disturbance_Score_1_10
11,15/10/2026,6:32,AG03,Agricultural Land,Autumn,Passer domesticus,Bird,3,Unknown,Unknown,Point Count,27.6715,85.4018,1390,20.3,67.9,65.2,49.6,30.4,4.2,Not available,0.57,0.42,7,5,Yes,Low,6.3
12,17/07/2026,6:21,AG03,Agricultural Land,Summer,Pycnonotus cafer,Bird,3,Male,Adult,Point Count,27.6715,85.4018,1390,25.8,70,118.9,57.3,30.3,7,Not available,0.43,0.5,3,3,Yes,Low,5.3
13,17/07/2026,6:17,AG03,Agricultural Land,Summer,Euphlyctis cyanophlyctis,Frog,1,Unknown,Adult,Visual Encounter,27.6715,85.4018,1390,25.8,70,118.9,57.3,30.3,7,Not available,0.43,0.5,3,3,Yes,Low,5.3
14,13/01/2027,16:05,CF01,Community Forest,Winter,Calotes versicolor,Lizard,1,Male,Unknown,Visual Encounter,27.6812,85.3341,1540,15.3,60.2,7.7,65.7,75.4,6.1,Not available,0.77,2.06,1,1,No,None,1.4
15,13/07/2026,11:20,CF01,Community Forest,Summer,Danaus chrysippus,Butterfly,7,Unknown,Unknown,Line Transect,27.6812,85.3341,1540,24.7,74.9,119.5,79.1,69.1,8.1,Not available,0.61,1.93,5,0,No,None,2.3
16,14/04/2026,12:28,CF01,Community Forest,Spring,Passer domesticus,Bird,5,Female,Adult,Point Count,27.6812,85.3341,1540,20.9,67.9,50.6,73.8,70.4,8.9,Available,0.85,1.44,2,1,No,None,2.2
17,15/04/2026,13:44,CF01,Community Forest,Spring,Copsychus saularis,Bird,4,Female,Adult,Point Count,27.6812,85.3341,1540,20.9,67.9,50.6,73.8,70.4,8.9,Available,0.85,1.44,2,1,No,None,2.2
18,16/01/2027,6:27,CF01,Community Forest,Winter,Passer domesticus,Bird,3,Female,Unknown,Point Count,27.6812,85.3341,1540,15.3,60.2,7.7,65.7,75.4,6.1,Not available,0.77,2.06,1,1,No,None,1.4
19,17/04/2026,6:07,CF01,Community Forest,Spring,Apis cerana,Insect,9,Unknown,Unknown,Sweep Net,27.6812,85.3341,1540,20.9,67.9,50.6,73.8,70.4,8.9,Available,0.85,1.44,2,1,No,None,2.2
20,18/01/2027,17:13,CF01,Community Forest,Winter,Pycnonotus cafer,Bird,1,Male,Unknown,Point Count,27.6812,85.3341,1540,15.3,60.2,7.7,65.7,75.4,6.1,Not available,0.77,2.06,1,1,No,None,1.4
21,10/1/2027,13:33,CF02,Community Forest,Winter,Duttaphrynus melanostictus,Frog,1,Unknown,Adult,Visual Encounter,27.6748,85.3472,1585,13.6,55.9,15.2,82.8,80.8,7.7,Not available,0.72,1.71,4,0,No,Low,1.8
22,10/4/2026,14:36,CF02,Community Forest,Spring,Copsychus saularis,Bird,7,Female,Adult,Point Count,27.6748,85.3472,1585,22.1,63.5,41.5,75.9,71.9,8,Not available,0.44,1.96,4,0,No,None,2.1
23,11/7/2026,17:45,CF02,Community Forest,Summer,Fejervarya limnocharis,Frog,4,Unknown,Juvenile,Visual Encounter,27.6748,85.3472,1585,25,72,176.6,84.5,83.8,8.3,Available,0.59,2.01,2,0,No,None,2.8
24,11/10/2026,10:02,CF02,Community Forest,Autumn,Junonia almana,Butterfly,3,Unknown,Unknown,Line Transect,27.6748,85.3472,1585,21.7,73.1,26,83.4,80.1,6,Available,0.44,1.53,0,1,No,Low,1.2
25,14/07/2026,6:22,CF02,Community Forest,Summer,Hemidactylus frenatus,Lizard,3,Male,Juvenile,Visual Encounter,27.6748,85.3472,1585,25,72,176.6,84.5,83.8,8.3,Available,0.59,2.01,2,0,No,None,2.8
26,15/07/2026,13:40,CF02,Community Forest,Summer,Copsychus saularis,Bird,2,Male,Adult,Point Count,27.6748,85.3472,1585,25,72,176.6,84.5,83.8,8.3,Available,0.59,2.01,2,0,No,None,2.8
27,15/07/2026,17:47,CF02,Community Forest,Summer,Vanessa cardui,Butterfly,4,Unknown,Unknown,Line Transect,27.6748,85.3472,1585,25,72,176.6,84.5,83.8,8.3,Available,0.59,2.01,2,0,No,None,2.8
28,18/01/2027,17:21,CF02,Community Forest,Winter,Vanessa cardui,Butterfly,3,Unknown,Unknown,Line Transect,27.6748,85.3472,1585,13.6,55.9,15.2,82.8,80.8,7.7,Not available,0.72,1.71,4,0,No,Low,1.8
29,20/07/2026,10:12,CF02,Community Forest,Summer,Papilio demoleus,Butterfly,3,Unknown,Unknown,Line Transect,27.6748,85.3472,1585,25,72,176.6,84.5,83.8,8.3,Available,0.59,2.01,2,0,No,None,2.8
30,12/1/2027,13:03,CF03,Community Forest,Winter,Passer domesticus,Bird,4,Male,Unknown,Point Count,27.6921,85.3215,1498,17.9,54.1,2.2,73.2,74.2,7,Not available,0.68,1.8,3,1,No,None,1.3
31,12/1/2027,10:06,CF03,Community Forest,Winter,Junonia almana,Butterfly,1,Unknown,Unknown,Line Transect,27.6921,85.3215,1498,17.9,54.1,2.2,73.2,74.2,7,Not available,0.68,1.8,3,1,No,None,1.3
32,14/01/2027,9:27,CF03,Community Forest,Winter,Apis cerana,Insect,5,Unknown,Unknown,Sweep Net,27.6921,85.3215,1498,17.9,54.1,2.2,73.2,74.2,7,Not available,0.68,1.8,3,1,No,None,1.3
33,14/07/2026,17:19,CF03,Community Forest,Summer,Papilio demoleus,Butterfly,5,Unknown,Unknown,Line Transect,27.6921,85.3215,1498,23.8,84.9,104.1,77,78.7,9.3,Not available,0.48,1.92,2,1,No,Low,1.2
34,18/07/2026,7:50,CF03,Community Forest,Summer,Apis cerana,Insect,11,Unknown,Unknown,Sweep Net,27.6921,85.3215,1498,23.8,84.9,104.1,77,78.7,9.3,Not available,0.48,1.92,2,1,No,Low,1.2
35,19/07/2026,13:13,CF03,Community Forest,Summer,Danaus chrysippus,Butterfly,3,Unknown,Unknown,Line Transect,27.6921,85.3215,1498,23.8,84.9,104.1,77,78.7,9.3,Not available,0.48,1.92,2,1,No,Low,1.2
36,20/04/2026,13:22,CF03,Community Forest,Spring,Apis cerana,Insect,4,Unknown,Unknown,Sweep Net,27.6921,85.3215,1498,21,77.6,54.6,75.5,68.7,7.7,Not available,0.77,1.97,5,2,No,None,2.4
37,18/10/2026,7:09,SE01,Settlement Edge,Autumn,Calotes versicolor,Lizard,1,Male,Unknown,Visual Encounter,27.7242,85.3515,1288,21.3,74.4,58.5,33.3,20.7,3.9,Not available,0.11,0.11,8,1,No,Moderate,7.6
38,20/04/2026,12:31,SE01,Settlement Edge,Spring,Columba livia,Bird,3,Male,Adult,Point Count,27.7242,85.3515,1288,21.3,61.2,39.9,26.4,11.1,5.4,Not available,0.09,0.5,8,0,No,Moderate,8.7
39,20/07/2026,13:34,SE01,Settlement Edge,Summer,Gryllus bimaculatus,Insect,2,Unknown,Unknown,Sweep Net,27.7242,85.3515,1288,25.5,75.7,92.7,31.9,14.2,5.8,Not available,0.04,0.39,7,4,Yes,Moderate,7.8
40,11/10/2026,10:07,SE02,Settlement Edge,Autumn,Papilio demoleus,Butterfly,2,Unknown,Unknown,Line Transect,27.7311,85.3659,1275,21.5,77.6,21.4,33.5,18.4,4,Available,0.03,0.17,6,1,Yes,None,8.2
41,14/01/2027,7:05,SE02,Settlement Edge,Winter,Pycnonotus cafer,Bird,1,Male,Adult,Point Count,27.7311,85.3659,1275,15.8,50.8,8,26.4,19.9,4.4,Available,0.12,0.25,5,4,No,Moderate,7.1
42,14/07/2026,10:37,SE02,Settlement Edge,Summer,Euphlyctis cyanophlyctis,Frog,2,Male,Adult,Visual Encounter,27.7311,85.3659,1275,25.4,81.8,103.7,30.1,21.2,4.1,Not available,0.08,0.18,10,1,No,None,8.1
43,15/10/2026,8:54,SE03,Settlement Edge,Autumn,Rattus rattus,Small Mammal,5,Female,Adult,Camera Trap,27.7187,85.3791,1304,21.9,68.8,39.8,32.1,18.5,4.5,Available,0.23,0.27,6,3,No,Moderate,7.6
44,16/10/2026,13:34,SE03,Settlement Edge,Autumn,Copsychus saularis,Bird,4,Male,Adult,Point Count,27.7187,85.3791,1304,21.9,68.8,39.8,32.1,18.5,4.5,Available,0.23,0.27,6,3,No,Moderate,7.6
45,20/07/2026,13:32,SE03,Settlement Edge,Summer,Hemidactylus frenatus,Lizard,1,Female,Adult,Visual Encounter,27.7187,85.3791,1304,24.4,72,82.5,27.8,18.7,5.6,Available,0.06,0.18,7,3,No,Low,7.2
46,14/04/2026,17:07,WL01,Wetland,Spring,Copsychus saularis,Bird,5,Unknown,Unknown,Point Count,27.7014,85.361,1315,19.8,74.9,59.9,56.2,42.8,7.7,Available,0.38,1.34,5,0,No,Low,3.1
47,16/07/2026,17:23,WL01,Wetland,Summer,Papilio demoleus,Butterfly,6,Unknown,Unknown,Line Transect,27.7014,85.361,1315,24.7,75,98.9,63.5,37.3,6,Available,0.47,1.25,7,0,No,Low,3.3
48,10/7/2026,9:05,WL02,Wetland,Summer,Calotes versicolor,Lizard,1,Female,Adult,Visual Encounter,27.7082,85.3694,1298,26.2,77.8,88.1,58.1,44.5,7.2,Available,0.31,1.43,4,2,No,Moderate,4
49,11/4/2026,9:51,WL02,Wetland,Spring,Danaus chrysippus,Butterfly,1,Unknown,Unknown,Line Transect,27.7082,85.3694,1298,20.7,61.6,45.9,60.5,38.7,8.8,Available,0.56,1.18,4,0,No,Low,3.7
50,14/04/2026,10:16,WL02,Wetland,Spring,Catopsilia pomona,Butterfly,5,Unknown,Unknown,Line Transect,27.7082,85.3694,1298,20.7,61.6,45.9,60.5,38.7,8.8,Available,0.56,1.18,4,0,No,Low,3.7
51,14/07/2026,9:00,WL02,Wetland,Summer,Fejervarya limnocharis,Frog,2,Unknown,Adult,Visual Encounter,27.7082,85.3694,1298,26.2,77.8,88.1,58.1,44.5,7.2,Available,0.31,1.43,4,2,No,Moderate,4
52,19/07/2026,6:32,WL02,Wetland,Summer,Acridotheres tristis,Bird,6,Unknown,Adult,Point Count,27.7082,85.3694,1298,26.2,77.8,88.1,58.1,44.5,7.2,Available,0.31,1.43,4,2,No,Moderate,4
53,10/7/2026,6:34,WL03,Wetland,Summer,Duttaphrynus melanostictus,Frog,2,Male,Adult,Visual Encounter,27.6957,85.3748,1332,25.4,72.2,110.9,69.6,41.2,6.7,Available,0.46,1.11,3,4,No,None,3.4
54,11/7/2026,15:49,WL03,Wetland,Summer,Fejervarya limnocharis,Frog,3,Female,Unknown,Visual Encounter,27.6957,85.3748,1332,25.4,72.2,110.9,69.6,41.2,6.7,Available,0.46,1.11,3,4,No,None,3.4
55,14/04/2026,9:24,WL03,Wetland,Spring,Euphlyctis cyanophlyctis,Frog,3,Male,Adult,Visual Encounter,27.6957,85.3748,1332,20.2,69.7,46.7,57.6,44.3,5.8,Available,0.35,1.38,4,2,No,Low,4
56,14/07/2026,17:04,WL03,Wetland,Summer,Euphlyctis cyanophlyctis,Frog,4,Female,Adult,Visual Encounter,27.6957,85.3748,1332,25.4,72.2,110.9,69.6,41.2,6.7,Available,0.46,1.11,3,4,No,None,3.4
57,15/10/2026,17:50,WL03,Wetland,Autumn,Rattus rattus,Small Mammal,1,Female,Adult,Camera Trap,27.6957,85.3748,1332,19.7,72.8,59.2,58.7,35.6,4.8,Available,0.3,0.96,7,2,No,None,4.6
58,17/04/2026,10:29,WL03,Wetland,Spring,Gryllus bimaculatus,Insect,6,Unknown,Unknown,Sweep Net,27.6957,85.3748,1332,20.2,69.7,46.7,57.6,44.3,5.8,Available,0.35,1.38,4,2,No,Low,4
59,18/01/2027,9:35,WL03,Wetland,Winter,Calotes versicolor,Lizard,1,Unknown,Adult,Visual Encounter,27.6957,85.3748,1332,15,64.2,0.7,52.5,36.5,6.2,Available,0.47,1.14,3,1,No,Low,4.3
