Animal_ID,Animal_Type,Age_years,Sex,Management_System,Season,Body_Condition_Score,Parasite_Status,Egg_Count_EPG,Anemia_Observed
A029,Cattle,9,Female,Grazing,Winter,2.9,Positive,401,No
A030,Cattle,10,Female,Grazing,Spring,3.5,Positive,332,No
A031,Cattle,6,Female,Grazing,Autumn,1.8,Negative,0,No
A032,Goat,3,Male,Grazing,Spring,2.9,Positive,1066,No
A033,Cattle,5,Male,Semi_Intensive,Autumn,2.0,Negative,0,No
A034,Buffalo,5,Male,Grazing,Autumn,1.8,Negative,0,Yes
A035,Sheep,5,Male,Semi_Intensive,Winter,2.3,Negative,0,Yes
A036,Sheep,8,Male,Grazing,Autumn,3.6,Positive,840,No
A037,Cattle,9,Female,Intensive,Spring,3.5,Negative,0,No
A038,Cattle,9,Female,Semi_Intensive,Autumn,3.0,Negative,0,Yes
A039,Cattle,6,Female,Semi_Intensive,Summer,1.7,Positive,229,No
A040,Goat,6,Female,Semi_Intensive,Winter,2.7,Negative,0,No
A041,Sheep,9,Female,Semi_Intensive,Winter,3.0,Positive,392,No
A042,Cattle,4,Male,Intensive,Summer,2.9,Positive,526,Yes
A043,Buffalo,6,Male,Grazing,Summer,1.5,Negative,0,No
A044,Cattle,4,Male,Semi_Intensive,Summer,2.2,Positive,504,No
A045,Sheep,1,Female,Intensive,Autumn,2.8,Negative,0,No
A046,Cattle,7,Female,Semi_Intensive,Winter,3.2,Positive,307,No
A047,Sheep,10,Male,Grazing,Summer,1.3,Negative,0,Yes
A048,Cattle,6,Female,Semi_Intensive,Autumn,2.7,Negative,0,No
A049,Buffalo,9,Female,Intensive,Summer,2.9,Negative,0,No
A050,Cattle,7,Female,Grazing,Spring,3.4,Positive,278,Yes
A051,Buffalo,7,Female,Intensive,Spring,3.3,Positive,645,No
A052,Buffalo,2,Female,Grazing,Winter,3.2,Negative,0,No
A053,Cattle,9,Male,Grazing,Autumn,2.2,Positive,931,No
A054,Buffalo,10,Female,Grazing,Spring,1.5,Positive,1070,No
A055,Goat,9,Male,Semi_Intensive,Spring,2.5,Negative,0,Yes
A056,Cattle,6,Female,Intensive,Autumn,3.5,Negative,0,No
A057,Cattle,3,Female,Intensive,Summer,3.8,Negative,0,No
A058,Buffalo,1,Male,Intensive,Autumn,3.3,Positive,633,No
A059,Buffalo,4,Female,Grazing,Summer,3.1,Positive,358,No
A060,Cattle,3,Female,Semi_Intensive,Spring,3.1,Positive,955,No
A061,Goat,1,Male,Grazing,Spring,2.4,Negative,0,No
A062,Buffalo,3,Female,Intensive,Spring,2.7,Negative,0,No
A063,Buffalo,4,Male,Semi_Intensive,Winter,4.0,Negative,0,No
A064,Sheep,8,Female,Semi_Intensive,Winter,2.1,Negative,0,No
A065,Goat,9,Female,Semi_Intensive,Winter,3.9,Negative,0,No
A066,Goat,3,Female,Intensive,Autumn,2.6,Negative,0,No
A067,Cattle,6,Female,Semi_Intensive,Spring,3.7,Positive,574,No
A068,Goat,10,Female,Semi_Intensive,Spring,1.8,Negative,0,No
A069,Cattle,5,Female,Grazing,Autumn,3.2,Negative,0,No
A070,Sheep,6,Male,Grazing,Winter,2.3,Negative,0,No
A071,Goat,4,Female,Semi_Intensive,Autumn,1.8,Negative,0,No
A072,Buffalo,10,Male,Semi_Intensive,Winter,3.0,Negative,0,No
A073,Sheep,6,Female,Grazing,Spring,3.5,Negative,0,No
A074,Cattle,7,Male,Grazing,Summer,2.2,Negative,0,No
A075,Sheep,9,Male,Grazing,Winter,1.8,Negative,0,Yes
A076,Cattle,10,Female,Intensive,Spring,2.7,Positive,841,Yes
A077,Sheep,7,Male,Intensive,Spring,2.7,Positive,595,No
A078,Cattle,6,Male,Grazing,Summer,3.2,Negative,0,No
A079,Goat,1,Male,Semi_Intensive,Spring,3.5,Negative,0,Yes
A080,Buffalo,2,Male,Grazing,Spring,2.8,Positive,161,Yes
A081,Cattle,1,Male,Intensive,Winter,4.1,Negative,0,Yes
A082,Sheep,9,Male,Semi_Intensive,Winter,3.0,Positive,1086,No
A083,Cattle,10,Female,Intensive,Summer,2.6,Positive,139,No
A084,Cattle,10,Male,Semi_Intensive,Summer,1.7,Negative,0,No
A085,Cattle,9,Female,Intensive,Spring,2.6,Positive,940,No
A086,Sheep,7,Male,Semi_Intensive,Winter,2.6,Positive,747,No
A087,Buffalo,2,Female,Semi_Intensive,Summer,3.5,Positive,947,No
A088,Goat,6,Female,Semi_Intensive,Summer,3.1,Negative,0,No
A089,Buffalo,4,Male,Semi_Intensive,Autumn,2.0,Positive,1181,Yes
A090,Cattle,1,Female,Intensive,Summer,2.9,Negative,0,No
A091,Sheep,1,Female,Intensive,Spring,3.3,Negative,0,No
A092,Buffalo,5,Female,Semi_Intensive,Winter,3.9,Positive,638,No
A093,Cattle,2,Female,Semi_Intensive,Summer,3.4,Negative,0,Yes
A094,Goat,4,Male,Intensive,Autumn,3.3,Positive,1031,Yes
A095,Goat,1,Female,Semi_Intensive,Winter,2.8,Negative,0,Yes
A096,Goat,4,Female,Semi_Intensive,Summer,3.1,Negative,0,No
A097,Cattle,6,Female,Semi_Intensive,Autumn,3.7,Negative,0,No
A098,Sheep,10,Male,Grazing,Summer,1.9,Positive,331,Yes
A099,Buffalo,4,Female,Semi_Intensive,Winter,2.6,Negative,0,No
A100,Goat,1,Female,Grazing,Winter,2.3,Positive,1161,No
A101,Cattle,7,Male,Semi_Intensive,Winter,3.1,Positive,65,Yes
A102,Cattle,2,Male,Intensive,Spring,3.7,Negative,0,No
A103,Buffalo,9,Male,Grazing,Summer,2.4,Positive,303,No
A104,Goat,3,Female,Grazing,Spring,1.1,Negative,0,No
A105,Cattle,8,Female,Semi_Intensive,Winter,2.5,Positive,593,No
A106,Buffalo,8,Female,Semi_Intensive,Autumn,3.4,Positive,832,No
A107,Sheep,3,Female,Grazing,Summer,3.2,Negative,0,Yes
A108,Sheep,4,Female,Intensive,Spring,3.1,Negative,0,No
A109,Sheep,2,Male,Intensive,Summer,2.6,Negative,0,No
A110,Goat,4,Female,Semi_Intensive,Autumn,1.9,Negative,0,No
A111,Buffalo,9,Female,Intensive,Spring,3.2,Negative,0,Yes
A112,Buffalo,2,Female,Intensive,Winter,2.2,Positive,688,Yes
A113,Cattle,3,Female,Semi_Intensive,Spring,4.3,Negative,0,Yes
A114,Cattle,4,Female,Intensive,Summer,3.2,Negative,0,Yes
A115,Cattle,5,Female,Semi_Intensive,Summer,2.4,Negative,0,No
A116,Buffalo,1,Female,Grazing,Summer,2.4,Negative,0,No
A117,Cattle,7,Female,Semi_Intensive,Summer,2.7,Negative,0,No
A118,Buffalo,10,Female,Grazing,Winter,2.6,Negative,0,No
A119,Buffalo,7,Male,Grazing,Spring,3.6,Negative,0,No
A120,Sheep,9,Male,Intensive,Winter,2.9,Positive,60,Yes
A121,Cattle,4,Male,Intensive,Winter,2.3,Positive,75,No
A122,Sheep,6,Female,Intensive,Winter,4.1,Negative,0,No
A123,Goat,2,Male,Semi_Intensive,Summer,2.8,Positive,470,No
A124,Goat,4,Male,Intensive,Summer,3.3,Negative,0,No
A125,Goat,2,Male,Grazing,Summer,2.4,Positive,286,No
A126,Buffalo,10,Male,Intensive,Spring,3.1,Negative,0,No
A127,Buffalo,5,Female,Intensive,Autumn,3.0,Positive,268,No
A128,Buffalo,7,Male,Semi_Intensive,Summer,1.5,Positive,510,No
A129,Cattle,1,Female,Semi_Intensive,Spring,4.2,Negative,0,No
A130,Sheep,10,Female,Grazing,Summer,3.7,Negative,0,No
A131,Buffalo,10,Female,Semi_Intensive,Summer,2.5,Negative,0,Yes
A132,Sheep,7,Male,Intensive,Winter,2.0,Negative,0,No
A133,Sheep,10,Female,Semi_Intensive,Winter,3.0,Negative,0,Yes
A134,Sheep,6,Female,Grazing,Winter,2.9,Negative,0,No
A135,Cattle,6,Female,Intensive,Spring,3.0,Negative,0,No
A136,Cattle,8,Female,Grazing,Autumn,2.9,Positive,385,No
A137,Goat,8,Male,Semi_Intensive,Autumn,3.2,Negative,0,No
A138,Goat,6,Male,Semi_Intensive,Spring,3.8,Negative,0,No
A139,Sheep,3,Male,Grazing,Summer,3.2,Negative,0,No
A140,Goat,5,Female,Intensive,Spring,2.1,Positive,349,No
A141,Sheep,2,Male,Semi_Intensive,Summer,3.8,Negative,0,No
A142,Cattle,5,Male,Semi_Intensive,Spring,3.9,Negative,0,No
A143,Cattle,9,Female,Intensive,Spring,5.0,Negative,0,No
A144,Cattle,10,Male,Semi_Intensive,Spring,2.0,Positive,402,No
A145,Buffalo,1,Male,Grazing,Autumn,3.0,Positive,573,No
A146,Sheep,10,Female,Semi_Intensive,Winter,1.3,Positive,999,No
A147,Cattle,5,Male,Semi_Intensive,Spring,3.2,Positive,805,No
A148,Sheep,6,Female,Intensive,Autumn,2.4,Negative,0,Yes
A149,Goat,7,Female,Grazing,Winter,4.1,Negative,0,Yes
A150,Goat,9,Female,Intensive,Winter,2.3,Negative,0,Yes
