Household_ID,District,Distance_to_Forest_km,Farm_Size_Ropani,Crop_Damage_Last_Year_NPR,Wildlife_Visits_per_Month,Crop_Type,Conflict_Experienced,Preventive_Method,Conservation_Attitude_1_5
H109,Sindhupalchok,2.79,4.2,73548,4,Maize,No,Guarding,5
H110,Kavrepalanchok,7.98,19.4,83565,2,Wheat,Yes,None,4
H111,Kaski,2.18,9.6,46660,3,Vegetables,No,None,2
H112,Kaski,2.31,19.0,50281,1,Maize,Yes,Fence,2
H113,Kavrepalanchok,7.45,13.9,767,9,Rice,Yes,Scarecrow,2
H114,Kavrepalanchok,0.29,6.7,3895,5,Fruits,No,Fence,4
H115,Kaski,5.6,4.6,58026,3,Maize,No,Fence,5
H116,Kaski,5.83,6.8,42968,4,Vegetables,Yes,Fence,3
H117,Kaski,6.71,2.8,40097,3,Vegetables,Yes,Guarding,1
H118,Kavrepalanchok,7.8,3.7,15332,4,Rice,Yes,None,3
H119,Kaski,7.81,3.0,14621,6,Maize,Yes,Fence,5
H120,Chitwan,0.62,9.0,76870,4,Wheat,Yes,Fence,3
H121,Kavrepalanchok,6.59,16.1,18174,2,Maize,No,Fence,4
H122,Chitwan,5.21,3.7,99189,6,Vegetables,No,Guarding,2
H123,Nuwakot,5.21,3.5,40502,3,Rice,No,Guarding,5
H124,Kavrepalanchok,1.11,13.2,36674,6,Rice,Yes,Guarding,5
H125,Nuwakot,5.24,4.7,37260,2,Wheat,No,Fence,3
H126,Kaski,7.86,2.9,42498,8,Rice,No,Scarecrow,4
H127,Kaski,7.3,4.2,67609,3,Rice,No,Scarecrow,3
H128,Sindhupalchok,3.57,18.6,49464,6,Rice,Yes,Scarecrow,3
H129,Kaski,0.42,16.6,71805,4,Rice,Yes,None,5
H130,Nuwakot,2.96,7.7,64919,5,Rice,Yes,Fence,3
H131,Kaski,6.63,13.5,54469,6,Vegetables,No,Scarecrow,2
H132,Kavrepalanchok,5.64,11.2,17194,1,Maize,No,Scarecrow,3
H133,Kaski,3.73,13.9,26811,5,Fruits,No,Scarecrow,2
H134,Sindhupalchok,0.54,14.0,72377,7,Rice,Yes,Fence,5
H135,Kaski,3.47,12.9,43723,6,Fruits,Yes,Scarecrow,4
H136,Nuwakot,3.81,6.1,75235,6,Fruits,Yes,Scarecrow,2
H137,Nuwakot,7.44,1.7,76298,7,Vegetables,Yes,Fence,4
H138,Kaski,5.16,9.7,59238,4,Rice,Yes,None,4
H139,Nuwakot,2.56,17.9,2147,3,Fruits,No,Guarding,2
H140,Nuwakot,4.25,11.8,98919,8,Rice,Yes,Scarecrow,5
H141,Sindhupalchok,0.62,16.8,99251,4,Wheat,No,Guarding,1
H142,Kavrepalanchok,7.78,19.8,38445,5,Wheat,Yes,None,4
H143,Sindhupalchok,2.94,4.1,53803,5,Wheat,Yes,None,4
H144,Chitwan,3.88,14.1,61108,3,Fruits,Yes,Scarecrow,5
H145,Sindhupalchok,2.91,13.8,2013,9,Wheat,No,Fence,5
H146,Kaski,5.49,19.6,85617,8,Vegetables,Yes,None,3
H147,Kavrepalanchok,5.33,19.7,82410,6,Vegetables,No,Guarding,5
H148,Kaski,5.75,14.0,53502,3,Fruits,Yes,Guarding,4
H149,Chitwan,2.22,5.6,37755,5,Rice,No,Guarding,2
H150,Kavrepalanchok,2.59,16.2,8733,5,Maize,No,Guarding,1
