ID,Age,Gender,Education,Occupation,Nationality,Marital,Family_Size,Travel_Purpose,Income,Expenses,Profit,Exam_Score,Booking_Source,Length_of_Stay,Room_Type,Room_Rate,Occupancy_Rate,Guests,Repeated_Visits,Satisfaction,Service_Eval,Staff_Friendliness,Cleanliness,Comfort,Computer_Literacy
36,20,Female,Bachelor,Business,Chinese,Married,6,Education,29189,24511,4678,87,Online,10,Suite,4719,93,5,2,4,1,3,4,2,Low
37,33,Other,Primary,Service,Nepali,Divorced,7,Medical,32069,22567,9502,77,Travel Agent,10,Suite,4446,76,5,3,5,3,1,2,3,Low
38,22,Other,Master,Retired,Chinese,Divorced,8,Other,73284,10253,63031,49,Travel Agent,1,Standard,3543,86,4,4,4,3,4,4,4,Low
39,65,Female,Secondary,Retired,Nepali,Single,8,Education,96228,52848,43380,76,Online,3,Deluxe,5910,66,4,2,2,5,2,4,1,High
40,63,Male,PhD,Business,Other,Divorced,4,Other,45225,17921,27304,81,Online,3,Deluxe,7990,57,2,0,4,3,3,1,3,High
41,45,Other,Primary,Business,Nepali,Divorced,2,Business,14269,10056,4213,56,Travel Agent,6,Deluxe,3480,75,2,1,5,1,1,2,1,Medium
42,35,Female,Primary,Service,Nepali,Married,6,Business,96246,86299,9947,77,Walk-in,8,Standard,3838,85,1,1,4,1,1,3,2,High
43,60,Female,Primary,Other,Chinese,Divorced,2,Education,39048,7491,31557,56,Online,1,Deluxe,3643,88,2,0,3,5,4,3,4,Low
44,29,Other,Bachelor,Student,Nepali,Single,7,Education,47724,21184,26540,93,Travel Agent,1,Standard,3589,79,3,1,4,2,1,2,4,Medium
45,64,Other,PhD,Other,Indian,Single,5,Business,14125,11268,2857,93,Travel Agent,10,Deluxe,2931,61,5,2,2,1,3,3,3,High
46,18,Male,Bachelor,Retired,Other,Single,3,Other,11163,5590,5573,93,Travel Agent,1,Deluxe,6732,67,2,5,2,5,4,5,1,High
47,60,Other,Secondary,Other,Other,Married,3,Other,19841,6909,12932,44,Walk-in,6,Deluxe,4877,86,2,2,5,4,1,3,3,Medium
48,49,Other,Secondary,Business,Other,Widowed,1,Education,41538,25483,16055,63,Online,9,Suite,4970,80,5,4,2,4,2,4,1,High
49,20,Female,Secondary,Student,Indian,Divorced,1,Education,43168,5278,37890,85,Online,10,Deluxe,3009,96,4,0,4,5,1,4,1,Medium
50,47,Female,PhD,Business,Chinese,Single,2,Leisure,53985,10114,43871,91,Walk-in,8,Deluxe,3218,100,1,4,3,5,4,2,2,High
